gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result
144,83,2015,2015-09-26 18:00:00,a,5,3.89623,27,12,17,6.7727,12,5,1.0,0,W
145,87,2015,2015-09-26 18:00:00,h,3,1.78331,21,12,11,7.4138,8,11,0.0,0,W
145,71,2015,2015-09-26 18:00:00,a,2,0.892054,10,4,2,26.4167,13,1,0.0,0,L
146,89,2015,2015-09-26 18:00:00,h,3,2.8971,12,7,6,6.4286,12,5,0.0,0,W
146,77,2015,2015-09-26 18:00:00,a,0,0.832139,9,4,1,22.0,17,2,3.0,0,L
147,81,2015,2015-09-26 18:00:00,h,2,2.60407,19,7,9,9.0,7,7,0.0,0,D
147,79,2015,2015-09-26 18:00:00,a,2,1.38603,16,7,3,6.7308,17,5,0.0,0,D
148,86,2015,2015-09-26 20:30:00,h,2,0.702109,11,5,2,11.125,12,4,1.0,0,D
148,80,2015,2015-09-26 20:30:00,a,2,1.30593,16,4,8,4.2,15,6,2.0,0,D
149,90,2015,2015-09-27 19:00:00,h,0,0.685939,15,2,9,9.625,17,6,4.0,0,L
149,78,2015,2015-09-27 19:00:00,a,1,2.33566,16,3,2,8.7727,22,4,4.0,0,W
150,76,2015,2015-09-28 23:00:00,h,2,1.27511,9,4,6,11.0,9,6,0.0,0,L
150,72,2015,2015-09-28 23:00:00,a,3,2.30159,12,4,5,9.6,8,4,3.0,0,W
151,78,2015,2015-10-03 15:45:00,h,2,1.99083,21,8,3,4.2,14,8,3.0,0,W
151,76,2015,2015-10-03 15:45:00,a,0,0.255528,7,2,1,10.5238,13,3,3.0,0,L
152,71,2015,2015-10-03 18:00:00,h,0,0.839028,13,2,7,7.6333,12,9,1.0,0,L
152,85,2015,2015-10-03 18:00:00,a,1,1.03499,12,5,3,8.3226,12,5,0.0,0,W
153,73,2015,2015-10-03 18:00:00,h,1,1.50268,12,6,1,11.9444,8,5,1.0,0,D
153,90,2015,2015-10-03 18:00:00,a,1,0.913291,11,2,3,9.8846,13,3,1.0,0,D
154,88,2015,2015-10-03 18:00:00,h,6,3.3346,23,11,14,5.4848,13,6,3.0,0,W
154,86,2015,2015-10-03 18:00:00,a,1,0.980279,6,4,3,22.5455,8,3,1.0,0,L
155,79,2015,2015-10-03 18:00:00,h,1,1.18074,17,2,5,11.5556,4,16,0.0,0,L
155,75,2015,2015-10-03 18:00:00,a,2,3.00282,16,5,5,10.2174,4,8,1.0,0,W
156,77,2015,2015-10-03 18:00:00,h,2,1.08401,12,3,3,13.0,14,1,2.0,1,D
156,81,2015,2015-10-03 18:00:00,a,2,1.93656,20,6,7,9.381,11,8,4.0,0,D
157,80,2015,2015-10-03 20:30:00,h,1,0.520175,10,3,5,8.7273,14,4,2.0,0,L
157,74,2015,2015-10-03 20:30:00,a,3,1.58246,13,5,5,14.2,14,6,5.0,0,W
158,72,2015,2015-10-04 16:30:00,h,1,1.20063,14,4,4,12.8235,10,5,3.0,0,D
158,87,2015,2015-10-04 16:30:00,a,1,1.30844,13,4,12,6.2759,19,11,3.0,0,D
159,84,2015,2015-10-04 19:00:00,h,2,0.774806,11,2,3,13.8571,8,5,1.0,0,D
159,82,2015,2015-10-04 19:00:00,a,2,1.18142,19,11,4,7.6774,19,6,4.0,0,D
160,83,2015,2015-10-04 19:00:00,h,3,2.16952,12,5,12,21.5333,8,3,1.0,0,W
160,89,2015,2015-10-04 19:00:00,a,0,1.03953,9,5,6,5.775,17,6,3.0,0,L
161,82,2015,2015-10-17 15:45:00,h,0,0.586228,13,4,4,5.6053,15,8,1.0,0,D
161,87,2015,2015-10-17 15:45:00,a,0,0.715892,12,3,3,8.1852,11,6,2.0,0,D
162,74,2015,2015-10-17 18:00:00,h,2,1.46668,13,6,5,9.0625,16,6,2.0,0,D
162,75,2015,2015-10-17 18:00:00,a,2,2.78648,27,7,8,6.625,10,7,0.0,0,D
163,76,2015,2015-10-17 18:00:00,h,1,2.07781,9,2,2,9.4211,12,1,2.0,0,W
163,77,2015,2015-10-17 18:00:00,a,0,0.658473,9,2,5,9.1739,13,5,2.0,0,L
164,80,2015,2015-10-17 18:00:00,h,2,1.22875,9,3,6,5.4091,22,4,1.0,0,W
164,71,2015,2015-10-17 18:00:00,a,0,0.795846,10,1,2,9.7619,17,4,3.0,0,L
165,78,2015,2015-10-17 18:00:00,h,1,1.08391,6,1,9,12.55,9,1,1.0,1,L
165,81,2015,2015-10-17 18:00:00,a,3,2.76356,24,4,15,7.1739,11,9,3.0,0,W
166,72,2015,2015-10-17 18:00:00,h,0,0.653457,12,3,5,10.7407,12,5,2.0,0,L
166,89,2015,2015-10-17 18:00:00,a,3,1.47853,10,7,6,11.8261,14,3,2.0,0,W
167,88,2015,2015-10-17 18:00:00,h,5,4.71274,16,11,12,14.3158,11,1,2.0,0,W
167,73,2015,2015-10-17 18:00:00,a,1,0.173025,5,1,4,14.8095,5,7,1.0,0,L
168,90,2015,2015-10-17 20:30:00,h,0,0.254791,8,1,7,9.3846,11,3,2.0,0,L
168,83,2015,2015-10-17 20:30:00,a,3,2.69046,17,6,16,6.3043,12,9,1.0,0,W
169,86,2015,2015-10-18 19:00:00,h,6,2.24896,11,6,8,12.5263,10,3,1.0,0,W
169,79,2015,2015-10-18 19:00:00,a,2,1.34395,18,6,4,7.3846,10,7,1.0,0,L
170,84,2015,2015-10-19 23:00:00,h,0,0.485489,14,2,5,16.2778,6,1,2.0,0,L
170,85,2015,2015-10-19 23:00:00,a,1,1.64894,9,2,6,16.5455,14,2,2.0,0,W
171,71,2015,2015-10-24 18:00:00,h,1,1.09516,9,3,4,10.36,10,4,2.0,0,L
171,84,2015,2015-10-24 18:00:00,a,2,1.74353,10,4,4,6.7308,8,6,3.0,0,W
172,75,2015,2015-10-24 18:00:00,h,1,1.33502,12,3,2,13.5263,7,3,3.0,0,W
172,78,2015,2015-10-24 18:00:00,a,0,0.240008,9,4,5,11.6364,11,2,1.0,0,L
173,81,2015,2015-10-24 18:00:00,h,2,0.77284,12,5,3,9.3929,10,7,1.0,0,W
173,80,2015,2015-10-24 18:00:00,a,1,1.1356,9,4,4,7.7308,12,4,5.0,1,L
174,79,2015,2015-10-24 18:00:00,h,0,1.03228,16,3,6,7.6111,11,13,1.0,0,L
174,76,2015,2015-10-24 18:00:00,a,1,1.45436,7,4,3,13.5882,6,3,2.0,0,W
175,85,2015,2015-10-24 18:00:00,h,0,0.848432,11,0,5,8.1429,10,11,3.0,0,L
175,90,2015,2015-10-24 18:00:00,a,2,1.0403,13,3,4,13.087,18,5,1.0,0,W
176,83,2015,2015-10-24 20:30:00,h,2,2.55754,20,5,19,6.2973,11,7,2.0,0,W
176,72,2015,2015-10-24 20:30:00,a,1,0.373025,10,5,1,8.0,14,5,0.0,1,L
177,77,2015,2015-10-25 16:00:00,h,3,2.37969,9,3,5,12.35,12,1,0.0,0,W
177,86,2015,2015-10-25 16:00:00,a,0,1.41744,21,8,7,8.9375,10,10,2.0,1,L
178,73,2015,2015-10-25 18:05:00,h,1,0.490581,11,3,5,12.3478,8,4,0.0,0,L
178,82,2015,2015-10-25 18:05:00,a,5,3.43313,14,9,5,5.5135,15,5,1.0,0,W
179,89,2015,2015-10-25 18:05:00,h,0,0.391754,6,1,5,7.0,17,6,2.0,0,D
179,88,2015,2015-10-25 18:05:00,a,0,0.310718,6,1,6,10.8333,13,4,2.0,0,D
180,87,2015,2015-10-25 20:15:00,h,1,0.682823,15,2,11,10.8824,8,10,1.0,0,D
180,74,2015,2015-10-25 20:15:00,a,1,1.56383,8,3,9,9.027,11,7,0.0,1,D
181,80,2015,2015-10-31 16:45:00,h,1,0.735762,8,2,2,8.4211,9,1,1.0,0,L
181,87,2015,2015-10-31 16:45:00,a,3,0.839342,16,7,12,6.0541,21,7,4.0,0,W
182,78,2015,2015-10-31 19:00:00,h,0,0.939118,10,5,5,9.5769,12,7,3.0,0,D
182,89,2015,2015-10-31 19:00:00,a,0,0.394404,5,1,8,7.4286,15,3,3.0,0,D
183,88,2015,2015-10-31 19:00:00,h,2,2.83557,21,5,12,10.0,4,12,2.0,0,W
183,79,2015,2015-10-31 19:00:00,a,1,1.17497,5,3,5,28.0,13,4,2.0,1,L
184,86,2015,2015-10-31 19:00:00,h,0,1.26075,15,6,4,15.25,6,11,1.0,0,D
184,85,2015,2015-10-31 19:00:00,a,0,1.38017,9,2,2,9.7273,16,4,3.0,0,D
185,84,2015,2015-10-31 19:00:00,h,0,0.264441,7,3,4,10.7826,12,4,2.0,0,L
185,83,2015,2015-10-31 19:00:00,a,3,2.17657,14,5,5,16.9048,7,4,0.0,0,W
186,90,2015,2015-10-31 19:00:00,h,2,1.61544,20,5,7,10.16,16,7,3.0,0,W
186,81,2015,2015-10-31 19:00:00,a,0,0.605625,8,3,2,9.95,12,2,0.0,1,L
187,76,2015,2015-10-31 19:00:00,h,2,1.50447,14,6,9,30.0,3,6,0.0,0,L
187,75,2015,2015-10-31 19:00:00,a,3,2.22545,13,5,4,7.0,11,4,2.0,0,W
188,72,2015,2015-11-01 17:30:00,h,6,2.34852,15,8,11,15.3636,6,6,3.0,0,W
188,77,2015,2015-11-01 17:30:00,a,2,1.21834,17,9,8,15.0,5,1,2.0,0,L
189,74,2015,2015-11-01 20:00:00,h,2,1.15966,11,2,9,15.7778,5,4,0.0,1,W
189,73,2015,2015-11-01 20:00:00,a,0,0.712132,16,2,9,12.5,5,6,2.0,0,L
190,82,2015,2015-11-03 00:00:00,h,3,1.14374,17,6,7,5.9615,6,4,0.0,0,W
190,71,2015,2015-11-03 00:00:00,a,1,0.325711,13,2,1,14.3333,15,3,3.0,0,L
191,73,2015,2015-11-07 16:45:00,h,0,1.00427,20,5,7,4.6563,9,16,2.0,0,L
191,86,2015,2015-11-07 16:45:00,a,1,0.504409,2,1,0,14.8636,11,0,2.0,0,W
192,75,2015,2015-11-07 19:00:00,h,2,1.56389,12,6,0,10.5517,10,4,0.0,0,W
192,90,2015,2015-11-07 19:00:00,a,1,1.00531,8,4,3,9.7647,10,2,1.0,0,L
193,89,2015,2015-11-07 19:00:00,h,2,1.2779,13,3,11,7.5238,11,5,1.0,0,W
193,76,2015,2015-11-07 19:00:00,a,0,0.594031,4,0,1,12.5217,10,1,3.0,1,L
194,79,2015,2015-11-07 19:00:00,h,1,1.19517,9,5,4,23.0526,12,5,1.0,0,W
194,84,2015,2015-11-07 19:00:00,a,0,0.402284,8,0,5,10.9375,7,2,0.0,0,L
195,81,2015,2015-11-07 19:00:00,h,1,0.589567,16,5,2,13.5,11,3,1.0,0,D
195,72,2015,2015-11-07 19:00:00,a,1,1.08814,13,4,6,18.125,12,5,2.0,0,D
196,77,2015,2015-11-07 19:00:00,h,0,0.299104,9,3,3,19.5714,3,10,1.0,0,L
