"playerID","name"
"1244","Wojciech Szczesny"
"1254","Alessandro Florenzi"
"1179","Leandro Castán"
"1246","Kostas Manolas"
"1438","Vasilis Torosidis"
"1251","Radja Nainggolan"
"1290","Miralem Pjanic"
"1249","Daniele De Rossi"
"1943","Gervinho"
"1253","Edin Dzeko"
"1250","Mohamed Salah"
"2011","Seydou Keita"
"1185","Iago Falque"
"1483","Etrit Berisha"
"1201","Dusan Basta"
"1541","Stefan de Vrij"
"1107","Santiago Gentiletti"
"1542","Stefan Radu"
"1205","Senad Lulic"
"1207","Marco Parolo"
"1589","Lucas Biglia"
"1517","Antonio Candreva"
"1210","Keita"
"1564","Ricardo Kishna"
"1206","Danilo Cataldi"
"1543","Sergej Milinkovic-Savic"
"1208","Felipe Anderson"
"1609","Antonio Mirante"
"1454","Alex Ferrari"
"1453","Marios Oikonomou"
"1180","Luca Rossettini"
"1441","Adam Masina"
"1902","Marco Crimi"
"1356","Lorenzo Crisetig"
"1913","Matteo Brighi"
"1611","Franco Brienza"
"1917","Robert Acquafresca"
"1981","Matteo Mancosu"
"1380","Amadou Diawara"
"1580","Mattia Destro"
"1285","Gianluigi Buffon"
"1576","Giorgio Chiellini"
"1286","Andrea Barzagli"
"1287","Leonardo Bonucci"
"1303","Stephan Lichtsteiner"
"1298","Patrice Evra"
"1403","Simone Padoin"
"226","Kingsley Coman"
"1295","Mario Mandzukic"
"1294","Paulo Dybala"
"1402","Mauricio Isla"
"1138","Orestis Karnezis"
"1149","Thomas Heurtaux"
"1887","Iván Piris"
"1140","Danilo"
"1097","Edenilson"
"1156","Ali Adnan"
"1228","Bruno Fernandes"
"1977","Manuel Iturra"
"1150","Emmanuel Badu"
"1147","Cyril Théréau"
"1888","Antonio Di Natale"
"1148","Duván Zapata"
"1561","Panagiotis Kone"
"1139","Silvan Widmer"
"1328","Stefano Sorrentino"
"1279","Roberto Vitiello"
"2047","Abdelhamid El Kaoutari"
"1534","Giancarlo Gonzalez"
"1274","Andrea Rispoli"
"1838","Achraf Lazaar"
"1101","Luca Rigoni"
"1271","Ivaylo Chochev"
"1273","Mato Jajalo"
"1275","Robin Quaison"
"1836","Franco Vázquez"
"1909","Fabio Daprelà"
"1837","Aleksandar Trajkovski"
"1284","Oscar Hiljemark"
"1113","Eugenio Lamanna"
"1431","Sebastien De Maio"
"1630","Giovanni Marchese"
"1094","Nicolas Burdisso"
"1633","Issa Cissokho"
"1885","Tino Costa"
"1123","Juraj Kucka"
"1100","Diego Laxalt"
"1111","Olivier Ntcham"
"1115","Goran Pandev"
"1106","Darko Lazovic"
"1401","Panagiotis Tachtsidis"
"2038","Giuseppe Panico"
"1924","Diego Capel"
"1532","Emiliano Viviano"
"1813","Mattia Cassani"
"1222","Matías Silvestre"
"1530","Andrea Coda"
"1224","Vasco Regini"
"1937","Fernando"
"1225","Edgar Barreto"
"1646","David Ivan"
"1810","Roberto Soriano"
"1514","Éder"
"1229","Luis Muriel"
"1939","Antonio Cassano"
"1845","Pawel Wszolek"
"1974","Zeljko Brkic"
"1972","Gaetano Letizia"
"2054","Igor Bubnjic"
"1342","Nicolás Spolli"
"1896","Riccardo Gagliolo"
"1153","Ryder Matos"
"1904","Filippo Porcari"
"1643","Luca Marrone"
"1920","Gabriel Silva"
"2027","Andrea Lazzari"
"1903","Kevin Lasagna"
"1905","Antonio Di Gaudio"
"2049","Kamil Wilczek"
"2055","Wallace Oliveira"
"1460","Andrea Consigli"
"1951","Sime Vrsaljko"
"1463","Francesco Acerbi"
"1462","Paolo Cannavaro"
"1464","Federico Peluso"
"1474","Alfred Duncan"
"1466","Francesco Magnanelli"
"1603","Simone Missiroli"
"1612","Domenico Berardi"
"1468","Gregoire Defrel"
"1338","Antonio Floro Flores"
"1360","Diego Falcinelli"
"1826","Nicola Sansone"
"1374","José Reina"
"1391","Christian Maggio"
